venue_name,venue_state,conference_game,away_name,home_name,event_coord_x,event_coord_y,type,shot_made,points_scored,season
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,84.0,283.0,twopointmiss,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,966.0,410.0,steal,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,274.0,462.0,fieldgoal,true,3.0,2014
Imperial Arena,,false,Hawkeyes,Musketeers,1054.0,253.0,twopointmiss,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,92.0,260.0,twopointmiss,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,68.0,255.0,twopointmade,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,225.0,218.0,fieldgoal,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,345.0,121.0,fieldgoal,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,880.0,486.0,threepointmade,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,118.0,305.0,fieldgoal,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,1040.0,252.0,twopointmiss,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,806.0,376.0,fieldgoal,true,3.0,2013
Imperial Arena,,false,Hawkeyes,Musketeers,1052.0,310.0,twopointmade,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,1059.0,266.0,twopointmade,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,1054.0,253.0,fieldgoal,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,102.0,322.0,fieldgoal,false,,2013
Imperial Arena,,false,Hawkeyes,Musketeers,91.0,286.0,fieldgoal,false,,2013
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,772.0,298.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,198.0,400.0,rebound,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,878.0,303.0,steal,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,150.0,294.0,fieldgoal,true,2.0,2014
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,57.0,558.0,fieldgoal,true,3.0,2016
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,206.0,346.0,rebound,false,,2016
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,309.0,152.0,fieldgoal,false,,2016
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,123.0,296.0,turnover,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,910.0,233.0,twopointmiss,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,1002.0,276.0,turnover,false,,2014
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,846.0,291.0,rebound,false,,2016
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,987.0,269.0,personalfoul,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,837.0,286.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,409.0,266.0,steal,false,,2016
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,937.0,531.0,fieldgoal,true,3.0,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,246.0,243.0,rebound,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,964.0,303.0,rebound,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,1042.0,325.0,fieldgoal,true,2.0,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,298.0,461.0,rebound,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,910.0,233.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,271.0,246.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,158.0,338.0,personalfoul,false,,2016
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,996.0,286.0,personalfoul,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,920.0,242.0,steal,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,132.0,280.0,twopointmade,false,,2014
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,818.0,407.0,fieldgoal,false,,2016
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,85.0,434.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,693.0,263.0,rebound,false,,2016
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,318.0,414.0,threepointmade,false,,2016
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,987.0,249.0,personalfoul,false,,2016
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,143.0,290.0,twopointmade,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,233.0,65.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,118.0,297.0,fieldgoal,true,2.0,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,1011.0,269.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,1050.0,22.0,fieldgoal,false,,2016
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,985.0,287.0,personalfoul,false,,2016
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,1019.0,297.0,rebound,false,,2016
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,110.0,242.0,fieldgoal,false,,2016
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,191.0,273.0,personalfoul,false,,2016
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,164.0,82.0,steal,false,,2016
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,126.0,235.0,rebound,false,,2014
Carver-Hawkeye Arena,IA,,Cyclones,Hawkeyes,105.0,270.0,fieldgoal,true,2.0,2014
Carver-Hawkeye Arena,IA,false,Cyclones,Hawkeyes,311.0,150.0,fieldgoal,false,,2016
